LabelValue,Name,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
1,Intracerebral_Haemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,113305005,Cerebellum,,,
2,Intraventricular_Haemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,279245009,Ventricular system of brain,,,
3,Subdural_Haemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,54214006,Subdural space,,,
4,Subarachnoid_Haemorrhage,SCT,49755003,Morphologically Altered Structure,SCT,50960005,Hemorrhage,,,,SCT,35951006,Subarachnoid space,,,
10,Brain_Parenchyma,SCT,123037004,Anatomical Structure,SCT,836432005,Parenchyma of brain,,,,,,,,,
11,Subarachnoid_Space,SCT,123037004,Anatomical Structure,SCT,35951006,Subarachnoid space,,,,,,,,,
12,Dura_Mater,SCT,123037004,Anatomical Structure,SCT,18545000,Dura mater,,,,,,,,,
13,Septum_Pellucidum,SCT,123037004,Anatomical Structure,SCT,70146006,Septum pellucidum,,,,,,,,,
14,Cerebellum,SCT,123037004,Anatomical Structure,SCT,113305005,Cerebellum,,,,,,,,,
15,Caudate_Nucleus,SCT,123037004,Anatomical Structure,SCT,11000004,Caudate nucleus,,,,,,,,,
16,Lentiform_Nucleus,SCT,123037004,Anatomical Structure,SCT,41648007,Lentiform nucleus,,,,,,,,,
17,Insular_Cortex,SCT,123037004,Anatomical Structure,SCT,36169008,Insula,,,,,,,,,
18,Internal_Capsule,SCT,123037004,Anatomical Structure,SCT,85637007,Internal capsule,,,,,,,,,
19,Ventricular_System,SCT,123037004,Anatomical Structure,SCT,279245009,Ventricular system of brain,,,,,,,,,
20,Brain_Lobe,SCT,123037004,Anatomical Structure,SCT,90597002,Lobe of brain,,,,,,,,,
21,Thalamus,SCT,123037004,Anatomical Structure,SCT,42695009,Thalamus,,,,,,,,,
